@relation weka

@attribute Tipodeusuario {NewVisitor,ReturningVisitor}
@attribute Fecha numeric
@attribute Sesiones numeric
@attribute PorcentajeNuevasSesiones numeric
@attribute Usuariosnuevos numeric
@attribute Porcentajedrebote numeric
@attribute Paginassesion numeric
@attribute Duracionmedia numeric
@attribute Porcentajedconversionesdelobjetivo numeric
@attribute Objetivoscumplidos numeric
@attribute Valordelobjetivo numeric

@data
ReturningVisitor,20161011,1335,0,0,83.75,1.29,80.32,0,0,0
NewVisitor,20170523,1334,100,1334,83.36,1.3,55.94,0,0,0
NewVisitor,20160926,1332,100,1332,88.89,1.2,26.71,0,0,0
ReturningVisitor,20170404,1328,0,0,85.69,1.29,47.74,0,0,0
NewVisitor,20170225,1326,100,1326,88.54,1.2,39.68,0,0,0
NewVisitor,20151111,1323,100,1323,89.8,1.17,38.85,0,0,0
NewVisitor,20170211,1323,100,1323,88.36,1.2,37.91,0,0,0
ReturningVisitor,20170215,1323,0,0,87.07,1.2,42.97,0,0,0
NewVisitor,20170527,1318,100,1318,87.25,1.24,40.24,0,0,0
NewVisitor,20170316,1316,100,1316,89.21,1.17,33.76,0,0,0
NewVisitor,20160426,1312,100,1312,92.68,1.13,24.79,0,0,0
ReturningVisitor,20170620,1309,0,0,85.41,1.28,58.47,0,0,0
NewVisitor,20170713,1305,100,1305,87.51,1.22,44.89,0,0,0
NewVisitor,20170722,1300,100,1300,85.54,1.29,39.3,0,0,0
NewVisitor,20170601,1298,100,1298,89.68,1.17,33.63,0,0,0
NewVisitor,20170327,1291,100,1291,91.01,1.17,37.09,0,0,0
ReturningVisitor,20170207,1290,0,0,86.59,1.27,71.76,0,0,0
ReturningVisitor,20170527,1279,0,0,83.19,1.27,56.77,0,0,0
ReturningVisitor,20170627,1279,0,0,86.16,1.25,73.38,0,0,0
NewVisitor,20151125,1278,100,1278,92.49,1.12,15.02,0,0,0
NewVisitor,20160906,1276,100,1276,88.56,1.19,22.43,0,0,0
ReturningVisitor,20161028,1273,0,0,66.69,1.67,92.3,0,0,0
NewVisitor,20161123,1272,100,1272,91.59,1.15,23.76,0,0,0
ReturningVisitor,20170303,1267,0,0,88.48,1.27,51.12,0,0,0
ReturningVisitor,20170625,1267,0,0,89.19,1.17,36.91,0,0,0
ReturningVisitor,20170718,1264,0,0,82.36,1.35,82.23,0,0,0
NewVisitor,20151104,1263,100,1263,87.33,1.24,41.44,0,0,0
ReturningVisitor,20160613,1263,0,0,84.56,1.28,83.32,0,0,0
NewVisitor,20170531,1260,100,1260,86.67,1.22,42.24,0,0,0
ReturningVisitor,20170217,1259,0,0,87.61,1.23,53.34,0,0,0
NewVisitor,20170718,1256,100,1256,87.1,1.25,41.86,0,0,0
ReturningVisitor,20161123,1256,0,0,86.15,1.32,76.86,0,0,0
ReturningVisitor,20170609,1255,0,0,87.57,1.29,63.02,0,0,0
ReturningVisitor,20170306,1254,0,0,85.25,1.28,50.37,0,0,0
NewVisitor,20170130,1253,100,1253,88.19,1.21,33.65,0,0,0
ReturningVisitor,20170222,1247,0,0,89.01,1.2,44.86,0,0,0
ReturningVisitor,20170314,1247,0,0,83.32,1.3,79.02,0,0,0
ReturningVisitor,20170528,1243,0,0,84.47,1.23,56.71,0,0,0
NewVisitor,20170103,1241,100,1241,89.44,1.21,43.46,0,0,0
NewVisitor,20170222,1239,100,1239,90.88,1.18,24.79,0,0,0
NewVisitor,20170329,1236,100,1236,89.08,1.24,39.09,0,0,0
NewVisitor,20170717,1235,100,1235,85.83,1.25,48.99,0,0,0
ReturningVisitor,20170130,1230,0,0,85.85,1.27,71.49,0,0,0
NewVisitor,20161018,1228,100,1228,88.6,1.2,34.43,0,0,0
ReturningVisitor,20170503,1227,0,0,89.81,1.16,44.19,0,0,0
NewVisitor,20161218,1226,100,1226,87.44,1.24,46.02,0,0,0
NewVisitor,20150810,1225,100,1225,91.59,1.13,23.93,0,0,0
